Year,Airport infrastructure investment,Maritime port infrastructure investment,Rail infrastructure capital value,Rail infrastructure investment,Rail infrastructure maintenance,Road infrastructure investment,Road infrastructure maintenance,Total_Infraestructure
2000,0.0,82901105.738911,695178451.14271,350193384.01994,164372882.1,1276391162.4974,150079587.98781002,2719116573.486771
2001,140435718.55998,49874367.33906,694086906.82621,113041484.48649,245434386.6,1611729555.0623,173247802.31784,3027850221.1918797
2002,93800974.891934,90048935.896257,792915907.10125,189498523.18895,160086997.1,1788471921.2729,176345832.79842,3291169092.249711
2003,58948317.529125,76141576.808453,953595556.50303,239962398.01598,154739333.5,1861784361.9615,176844952.593685,3522016496.9117727
2004,93799896.533885,51589943.093637,1065958322.7169,227675284.54531,141872343.5,1831442979.8241,173529808.593845,3585868578.807677
2005,118988100.0,35129820.0,1170563738.6527,204919724.76279,143918940.0,1883411640.0,176782320.0,3733714283.41549
2006,158587868.30623,36680187.227291,1232797449.0921,187608054.26206,145641919.9,2178155823.8794,189873910.376515,4129345213.043596
2007,280437671.41009,31044760.672704,1353775340.6215,259781098.07091,149014851.2,2267302354.4631,190407865.479625,4531763941.917929
2008,404894859.25379,31145758.404137,530650495.50969,148072108.7135,104561334.5,2078728198.0052,193907463.60643,3491960217.9927473
2009,517743119.15626,12206124.61665,648599373.61669,140912053.68921,96582995.38,1799386203.9046,172920098.71793997,3388349969.08135
2010,245430000.0,6060000.0,712429868.07,102683304.5214,85807580.0,1428140000.0,166650000.0,2747200752.5914
2011,85979487.179487,16574358.974359,831859236.21538,148223444.58031,87224635.9,1053507692.3077,164707692.303845,2388076547.461081
2012,34898373.98374,11290650.406504,844874237.80488,66314472.081911,90636209.35,909410569.1057,142672764.21381998,2100097276.9465551
2013,54016145.30777,11210898.082745,856250979.83996,67001819.976791,80552341.07,605388496.46821,130454086.790515,1804874767.535991
2014,59530469.53047,11098901.098901,831028201.7982,1574095864.4923,105983732.5,643736263.73626,85764235.76211801,3311237668.918249
2015,106000000.0,11000000.0,1369229000.0,63845200.93,137061887.9,612000000.0,82000000.0,2381136088.83
2016,123383084.57711,10945273.631841,1288984207.8308,34658199.402985,183110853.3,618905472.63682,82587064.6783085,2342574156.0578647
2017,174852652.25933,10805500.982318,1238291431.11,67593406.070727,191689029.8,537328094.30255,79567779.9603535,2300127894.485278
2018,124170616.11374,10426540.28436,1142685702.6635,41337030.227488,203321740.9,656872037.91469,83412322.272441,2262225990.376219
2019,230055658.62709,10204081.632653,1102180380.2134,66687379.925788,221783141.1,776437847.86642,69573283.85949901,2476921773.2248497
2020,261467889.90826,10091743.119266,1107339449.5413,92660550.458716,212202504.8,0.0,0.0,1683762137.8275418
